,vid_id,iou
357,B73wt5icB-c,0.0340573201214966
358,qrvPTE0kb5U,0.03446644340411347
359,H-5nHSHwFOk,0.03448286070805329
360,CRNycmwvGXs,0.03449288676505047
361,nNldj5g7W5o,0.03456007023900794
362,odMI0DGsn7k,0.03458897105141206
363,gB_xHRJY7sw,0.034898718773766366
364,VSONGdnvKiM,0.035036625132415344
365,81k4vwur1Gk,0.03538272738227742
366,eKiRykHu734,0.03553526799912271
367,aNE5ZWD5E34,0.035602804258240785
368,rwxSphRRIL8,0.03571003969414402
369,UALnEw4XhTY,0.03600553457690118
370,U7oDqpIYsxI,0.03661318802833172
371,DAv8CEings8,0.03714395442852702
372,SndKvA_2DcE,0.03725519555381972
373,AFb77tjPuwQ,0.0372964683420882
374,J__1J4MmH4w,0.03788328578578367
375,bb-DPA34qvw,0.038205314793816364
376,p1fpQ4yR1co,0.03828881751206191
377,vJiOYQE9tts,0.03847556299605239
378,NcjQI0avKHE,0.03859195628871888
379,vD9oh7NZ2PA,0.039001307530026376
380,agM7yjqVKo0,0.03902995625997877
381,RNAUncQEASo,0.03932804587318414
382,xb8iMASjw1A,0.03941180481010951
383,EWWCQH6WbtQ,0.03942746616030536
384,ndJqptBTxAY,0.03971324403211134
385,sS-KyhAzeUY,0.039818689562388064
386,uQDTcusxDCg,0.040249843453998665
387,8iHklV25LaE,0.04037444074906196
388,zRBspE-uJUo,0.040647453481925507
389,lZcTesK6CfA,0.040689346872120565
390,ESlUzrtqC98,0.040843658738602996
391,3lkZPJES45Q,0.04095133154408977
392,NgG4AWP1F6Q,0.04097130687158015
393,bMJlN9iPpCI,0.04138925617237289
394,5pl_qttD8Fc,0.04160162672594821
395,Xj1R81SK_zs,0.04193736076537403
396,TnvAN5iwpIw,0.04200173040090884
397,t-8wEopB3AQ,0.04209675382531142
398,jF33TElZc_Y,0.04225161649535842
399,Q6KyDc24uSk,0.04237188416692042
400,Y9xPzIiy6mI,0.042517976334512084
401,gyQ3NBwXhDU,0.04253026144828491
402,FLJzzot6F-s,0.04285952117882457
403,hzeK-DdGOsc,0.04368560853257176
404,sVDRluetSyg,0.04404143649101298
405,CoP3xaSZt7A,0.04404903000121878
406,-erT3ckPkAg,0.04412267941778605
407,D2TQ_RR2Q50,0.04614255581202453
408,D9hS68pULz0,0.0461656449313352
409,mg0n3DNtUZU,0.04693058002151404
410,Mgym0F-T7Js,0.04693217316143607
411,WPM0vuERyfc,0.0469663419872154
412,hc4DBHpRuGM,0.04697493484804209
413,QBqfrJzcrns,0.047281427218750616
414,OXTQsO5abO4,0.047754655631624184
415,qNE6ju5dRc0,0.04780865239125689
416,GavbA_SHlVM,0.04861692243170364
417,34KalqGygZ0,0.048645761941687744
418,xmSN6La-2vQ,0.048698273413873325
419,nrvB8pcrY7o,0.049074179172247434
420,zBm3FR-CCI0,0.04944369940304963
421,mglEC2-MH14,0.0495535805311326
